ID_Juego,ID_Jugador,Edad,Estatura,Clima,Par,Distancia_Hoyo,N_Hoyo,Driver,Hibrido,Madera3,Madera5,Hierro2,Hierro3,Hierro4,Hierro5,Hierro6,Hierro7,Hierro8,Hierro9,Pitching _Wedge,Sand Wedge,Putt,Castigo,Golpes_Total_Hoyo,Ubicacion_Bandera,Hora_Estimada ,Velocidad_Viento,Direccion_Viento,Ventaja_Hoyo,Resultado_Handicap,Humedad,Temperatura
6A,6,75,1.68,Soleado,4,423,6,1,0,0,0,0,0,0,0,0,0,0,0,1,1,3,0,6,Atrás,11:15:00,11,Cruzado derecho,1,5,50,27
6A,6,75,1.68,Soleado,4,403,7,1,0,0,0,0,0,0,0,0,1,0,0,0,0,3,0,5,Centro,11:30:00,9,En contra,9,4,49,27
6A,6,75,1.68,Soleado,3,156,8,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,3,Adelante,11:45:00,8,Cruzado izquierdo,17,3,48,28
6A,6,75,1.68,Soleado,4,383,9,0,1,0,0,0,0,0,0,0,0,0,0,0,2,2,0,5,Atrás,12:00:00,7,A favor,3,4,46,28
6A,6,75,1.68,Soleado,4,297,10,1,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,4,Centro,12:15:00,6,Cruzado derecho,14,4,45,29
6A,6,75,1.68,Soleado,5,566,11,1,0,1,0,0,0,0,0,0,0,1,0,1,0,3,0,7,Adelante,12:30:00,5,En contra,4,6,44,29
6A,6,75,1.68,Soleado,3,189,12,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,3,Atrás,12:45:00,7,Cruzado izquierdo,6,2,43,30
6A,6,75,1.68,Soleado,4,379,13,1,0,0,0,0,0,0,0,0,0,1,0,0,0,3,0,5,Centro,13:00:00,9,A favor,10,4,42,30
6A,6,75,1.68,Soleado,5,540,14,1,1,0,0,0,0,0,0,1,0,0,0,0,0,3,0,6,Adelante,13:15:00,10,Cruzado derecho,18,6,40,31
6A,6,75,1.68,Soleado,4,448,15,1,1,0,0,0,0,0,0,0,0,0,0,1,0,2,1,6,Atrás,13:30:00,11,En contra,8,5,39,31
6A,6,75,1.68,Soleado,4,458,16,1,0,0,0,0,0,0,1,0,0,0,0,0,1,3,1,7,Centro,13:45:00,9,Cruzado izquierdo,2,6,38,32
6A,6,75,1.68,Soleado,3,166,17,0,0,0,0,0,0,0,0,0,0,2,0,0,2,2,2,8,Adelante,14:00:00,8,A favor,16,8,37,32
6A,6,75,1.68,Soleado,4,413,18,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,1,4,Atrás,14:15:00,7,Cruzado derecho,12,4,35,33
6B,6,75,1.68,Lluvioso,4,382,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,2,0,4,Centro,7:10:00,7,En contra,13,4,88,14
6B,6,75,1.68,Lluvioso,5,533,2,1,0,1,0,0,0,1,0,0,0,0,0,0,1,2,1,7,Adelante,7:25:00,9,Cruzado izquierdo,15,7,87,14
6B,6,75,1.68,Lluvioso,4,429,3,1,0,1,0,0,0,0,0,0,0,0,1,0,0,2,0,5,Atrás,7:40:00,8,Cruzado derecho,5,4,86,15
6B,6,75,1.68,Lluvioso,3,234,4,0,1,0,0,0,0,0,0,0,0,0,0,0,1,3,0,5,Centro,7:55:00,10,A favor,11,4,85,15
6B,6,75,1.68,Lluvioso,5,602,5,1,0,1,0,0,0,0,0,0,0,0,1,0,1,2,0,6,Adelante,8:10:00,12,En contra,7,5,84,16
6B,6,75,1.68,Lluvioso,4,423,6,1,0,0,0,0,0,0,0,0,0,0,1,0,1,3,1,7,Atrás,8:25:00,11,Cruzado izquierdo,1,6,82,16
6B,6,75,1.68,Lluvioso,4,403,7,1,0,0,0,0,0,0,0,1,0,0,0,0,0,3,0,5,Centro,8:40:00,10,Cruzado derecho,9,4,81,17
6B,6,75,1.68,Lluvioso,3,156,8,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,3,Adelante,8:55:00,9,A favor,17,3,80,17
6B,6,75,1.68,Lluvioso,4,383,9,0,1,0,0,0,0,0,0,0,0,0,0,0,2,3,0,6,Atrás,9:10:00,8,En contra,3,5,78,18
6B,6,75,1.68,Lluvioso,4,297,10,1,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,5,Centro,9:25:00,7,Cruzado izquierdo,14,5,77,18
6B,6,75,1.68,Lluvioso,5,566,11,1,0,1,0,0,0,0,0,0,1,0,1,0,0,3,0,7,Adelante,9:40:00,6,Cruzado derecho,4,6,76,18
6B,6,75,1.68,Lluvioso,3,189,12,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,3,Atrás,9:55:00,5,A favor,6,2,75,18
6B,6,75,1.68,Lluvioso,4,379,13,1,0,0,0,0,0,0,0,0,1,0,0,0,0,3,0,5,Centro,10:10:00,6,En contra,10,4,74,19
6B,6,75,1.68,Lluvioso,5,540,14,1,1,0,0,0,0,0,1,0,0,0,0,0,0,3,0,6,Adelante,10:25:00,8,Cruzado izquierdo,18,6,72,19
6B,6,75,1.68,Lluvioso,4,448,15,1,1,0,0,0,0,0,0,0,0,0,1,0,0,2,0,5,Atrás,10:40:00,9,Cruzado derecho,8,4,71,19
6B,6,75,1.68,Lluvioso,4,458,16,1,0,0,0,0,0,1,0,0,0,0,0,0,1,3,0,6,Centro,10:55:00,10,A favor,2,5,70,19
6B,6,75,1.68,Lluvioso,3,166,17,0,0,0,0,0,0,0,0,0,2,0,0,0,2,3,0,7,Adelante,11:10:00,11,En contra,16,7,69,19
6B,6,75,1.68,Lluvioso,4,413,18,0,0,1,0,0,0,0,0,0,0,1,0,0,0,2,0,4,Atrás,11:25:00,9,Cruzado izquierdo,12,4,68,20
